nom,code_postal,commune,numero,voie,lieu_dit,site_internet,longitude,latitude,personnel_aidant,largeur_entree,aide_audition,entree_balise_sonore,sanitaires_pmr,stationnement_pmr,labels,types_handicap,difficulte_chemin_ext,difficulte_entree,difficulte_chemin_accueil,score
0RPI,76120,Le Grand-Quevilly,10,Avenue John Fitzgerald Kennedy,,,1.050464800318878,49.40880109458048,1,93,,,,1,,,,,,1.18
21 SIEGE,15000,Aurillac,22,Rue des Carmes,,,2.443001,44.926638,1,90,,,,1,,,,,,1.18
+2Foot,10410,SAINT-PARRES-AUX-TERTRES,17,Rue DES ACACIAS,,,4.129724800586701,48.293876035219434,,90,,,,1,,,1,,,1.0
3 brasseurs,14120,Mondeville,,Rue Aristide Boucicaut,,https://www.3brasseurs.com,-0.30082315206527716,49.16310833769086,1,100,,,1,1,,,,,,1.73
3 gîtes - Maison Familiale et Rurale,63210,Aurières,,Le Bourg,,https://www.mfrvernines.fr,2.906096,45.683304,,,,,,,th,visuel|auditif|moteur|mental,,,,1.09
400C Scotta!,75012,Paris,11 bis,Rue de Cotte,,,2.377302,48.849049,,120,,,1,,,,,1,1,1.55
4 chambres d'hôtes  La Laiterie 11 personnes,50340,Grosville,6,Le Hamel au Cure,,https://www.lalaiterie.eu,-1.722431,49.499822,,,,,,,th,moteur|auditif|mental|visuel,,,,1.09
4Murs,82000,MONTAUBAN,609,Route DU NORD,PARC COMMERCIAL D'AUSSONNE,,1.3827189803123476,44.04124253141627,,100,,,,1,,,1,,,1.09
514 Appart Hotel,11000,Carcassonne,,Chemin de la Cité à Montlegun,,https://www.514apparthotel.fr,2.389456,43.205255,,,,,,,th,moteur|auditif|mental|visuel,,,,1.09
51 rue pierre,92110,Clichy,51,Rue Pierre,,,2.315284613287077,48.91229731201499,,140,,,,,,,2,,,0.64
7ici,69001,Lyon,1,Rue des Capucins,,,4.832275,45.769022,1,100,,,,1,,,1,,,1.55
AA Casino Animation casino et activités Team building & Séminaire,45800,Saint-Jean-de-Braye,17,Rue Bernard Palissy,,https://www.aacasino.fr,1.9432470202445986,47.91576678684589,,90,,,2,,,,,,2,0.73
AAPPMA de la région de Brou,28160,Yèvres,7,Rue Lucien Truillet,,,1.19582,48.210799,,,,,,,th,moteur|auditif|mental|visuel,,,,1.09
Abbaye de Cluny,71250,Cluny,,Rue Porte de Paris,,https://www.cluny-abbaye.fr,4.661682,46.432219,,,,,,,th,moteur|auditif|mental|visuel,,,,1.09
Abbaye de l’epau,72560,Changé,,Rue d’Yvré l’Evêque,,http://epau.sarthe.fr,0.2539998292922974,47.98355944537986,,90,,,1,1,,,,,,1.18
ABC Depannages,14940,Touffréville,12bis,Rue de l’Eglise,,https://www.abc-depannage-caen.fr/electricite,-0.223541,49.189679,,,,,,,,,,,,0.36
ABL Assurances,55100,Verdun,2,Place Thiers,,,5.387185,49.157806,,,,,,,,,,1,,0.64
ABORDAGE,13600,La Ciotat,71,Boulevard Beaurivage,,https://abordageciotat.wixsite.com/abordage,5.620886,43.186538,1,90,1,,1,1,th,moteur|auditif|mental|visuel,1,,,3.09
Abri,75010,Paris,92,Rue du Faubourg Poissonnière,,http://abrirestaurant.fr,2.349236,48.877873,,80,,,,1,,,,1,,1.09
ABS dépannage,92110,Clichy,37,Boulevard Jean Jaurès,,,2.306914329528809,48.89894890433418,1,90,,,,,,,,1,1,1.27
Academie de Billard de Lyon,69001,Lyon,31,Rue de la Martinière,,,4.830896,45.768252,,,,,,,,,,,,0.36
Académie de danse,55200,Commercy,45,Rue de Saint-Mihiel,,,5.583159,48.765209,,,,,,,,,,1,,0.64
A Carioca,44000,NANTES,9,Rue JEAN JAURES,,,-1.55991,47.219546,1,80,,,0,,,,,1,,1.09
Accueil de Loisirs (Pablo Neruda),42400,Saint-Chamond,,Rue des Echarneaux,,,4.533807635307313,45.46919785145052,1,90,,,2,1,,,1,,,1.91
Accueils de loisirs,76360,Barentin,2,Rue Ambroise Paré,,https://ville-barentin.fr/,0.951366126537323,49.540332313115236,1,100,1,,1,1,,,1,,,2.45
Accueil Touristique de Plouescat,29430,Plouescat,5,Rue des Halles,,http://www.roscoff-tourisme.com,-4.175097,48.658203,,,,,,,th,auditif|mental|visuel,,,,1.0
Accueil touristique de Saint-Georges-du-Vièvre,27450,Saint-Georges-du-Vièvre,1,Route de Montfort,,https://www.lieuvinpaysdauge-tourisme-normandie.fr/,0.5856466591194476,49.24453777131493,1,100,1,,,1,th,moteur|auditif|mental|visuel,,,,2.45
accueil touristique du site de la Chaux,18320,Beffes,,Route de Chabrolles,,http://www.beffes.fr/,3.005234,47.093638,,,,,,,th,moteur|auditif|mental|visuel,,,,1.09
A Chacun Sa Tasse,69001,LYON 1ER,2,Rue DU GRIFFON,,,4.835894,45.769502,1,100,,,,1,,,,,,1.27
A Cote,78420,CARRIERES SUR SEINE,71,Rue DU GENERAL LECLERC,,,2.176908,48.912047,,90,,,1,1,,,,,1,1.45
Action,42400,Saint-Chamond,,Route de la Varizelle,,,4.490633727691603,45.46071158491567,,90,,,,1,,,,,,0.73
Action,42100,Saint-Étienne,22,Rue Ferrer,,,4.422446,45.447131,,90,,,,1,,,1,,,1.0
Action,25000,Besançon,2,Place Maréchal Leclerc,,,6.013933718204499,47.24203622774733,1,90,1,,,1,,,,,,1.64
Action,25480,École-Valentin,6,Rue de Chatillon,,,5.994391143321992,47.28199848374862,1,90,1,,,1,,,1,,,1.91
ACTION,77127,Lieusaint,,Allée de l'Avant-scéne,,,2.5449298360763355,48.620635187108945,,,,,,1,,,,,,0.82
